class,qtd_refactorings,bugs_5.3,bugs_5.4
org.traccar.handler.events.OverspeedEventHandler,21,2,2
org.traccar.handler.events.MotionEventHandler,18,2,2
org.traccar.session.state.OverspeedState,9,4,4
org.traccar.reports.common.ReportUtils,6,4,4
org.traccar.helper.Checksum,4,1,1
org.traccar.session.state.MotionState,3,4,4
org.traccar.database.CommandsManager,3,2,2
org.traccar.MainEventHandler,3,3,3
org.traccar.notificators.NotificatorWeb,2,1,1
org.traccar.protocol.SuntechProtocolDecoder,1,1,1
org.traccar.session.ConnectionManager,1,3,3
org.traccar.notification.EventForwarder,1,1,1
org.traccar.WebDataHandler,1,2,2
org.traccar.api.security.LoginService,1,1,1
org.traccar.api.signature.CryptoManager,1,1,1
org.traccar.api.signature.TokenManager,1,1,1
org.traccar.database.NotificationManager,1,3,3
org.traccar.handler.ComputedAttributesHandler,1,1,1
org.traccar.handler.CopyAttributesHandler,1,1,1
org.traccar.handler.DefaultDataHandler,1,1,1
org.traccar.handler.DistanceHandler,1,1,1
org.traccar.handler.EngineHoursHandler,1,1,1
org.traccar.handler.FilterHandler,1,2,2
org.traccar.handler.RemoteAddressHandler,1,1,1
org.traccar.handler.SpeedLimitHandler,1,1,1
org.traccar.handler.TimeHandler,1,1,1
org.traccar.handler.events.AlertEventHandler,1,1,1
org.traccar.handler.events.BehaviorEventHandler,1,1,1
org.traccar.handler.events.DriverEventHandler,1,1,1
org.traccar.handler.events.FuelEventHandler,1,1,1
org.traccar.handler.events.GeofenceEventHandler,1,4,4
org.traccar.handler.events.IgnitionEventHandler,1,1,1
org.traccar.handler.events.MaintenanceEventHandler,1,1,1
org.traccar.notification.NotificationFormatter,1,1,1
org.traccar.notification.TextTemplateFormatter,1,1,1
org.traccar.web.WebServer,1,1,1
